,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in
3609, Land Rover Range Rover Velar R Dynamic HSE 2.0 D180 5dr Auto …     ,"£38,500",2018,SUV,"10,902",2.0L,180PS,Automatic,Diesel
3610," Porsche Macan 3.0D S PDK Auto £17,000 Options     ","£39,995",2017,SUV,"22,466",3.0L,258PS,Automatic,Diesel
3611, KIA RIO 1.4 3 5dr     ,"£5,650",2013,Hatchback,"46,626",1.4L,107BHP,Manual,Petrol
3615, Mazda 6 SE-L LUX NAV PLUS 2.0 4dr     ,"£18,895",2019,Saloon,"7,905",2.0L,145PS,Manual,Petrol
3616, Mercedes-Benz Gla Class Diesel Hatchback GLA 220d 4Matic AMG …     ,"£18,902",2015,SUV,"23,384",2.1L,174BHP,Automatic,Diesel
3617, SKODA Kodiaq TDI SE 4x4 5dr 2.0     ,"£18,950",2018,SUV,"24,914",2.0L,150PS,Manual,Diesel
3618, Ford Focus ST-2 Hatch | 2.0 Ecoboost 250PS 5dr     ,"£18,990",2018,Hatchback,"14,155",2.0L,250PS,Manual,Petrol
3619, Ford Focus ST-3 Estate | 2.0 TDCi 185PS 5dr     ,"£18,990",2018,Estate,"12,131",2.0L,185PS,Manual,Diesel
3620, Audi Q2 TDI SPORT 1.6 5dr     ,"£18,995",2018,SUV,"18,554",1.6L,116PS,Manual,Diesel
3621, Audi Q2 AVANT TFSI S Line 5dr 1.4     ,"£19,000",2017,SUV,"27,028",1.4L,150PS,Manual,Petrol
3622, Audi Q3 AVANT TDI S Line Edition 5dr 2.0     ,"£19,000",2017,SUV,"24,870",2.0L,150PS,Manual,Diesel
3623, Audi Q2 AVANT TFSI S Line 5dr 1.4     ,"£19,000",2017,SUV,"21,093",1.4L,150PS,Manual,Petrol
3624, Audi A4 TDI 190 S Line 4dr S Tronic 2.0     ,"£19,000",2017,Saloon,"31,096",2.0L,190PS,Automatic,Diesel
3628, Jaguar F-Pace 2.0 i4 Diesel (240PS) R-Sport AWD 5dr     ,"£31,988",2019,SUV,"17,666",2.0L,240PS,Automatic,Diesel
3629, Jaguar F-Type 5.0 V8 S Quickshift 2dr     ,"£34,990",2013,Convertible,"49,500",5.0L,488BHP,Automatic,Petrol
3630, Jaguar F-Pace 2.0 i4 Petrol (250PS) R-Sport AWD 5dr     ,"£35,988",2019,SUV,"9,568",2.0L,250PS,Automatic,Petrol
3631, Jaguar F-Type P300 R-DYNAMIC 2.0 2dr     ,"£43,488",2019,Convertible,900,2.0L,300PS,Automatic,Petrol
3632, Peugeot 308 1.6 CC GT THP 2d 156 BHP     ,"£3,495",2010,Convertible,"74,390",1.6L,156BHP,Manual,Petrol
3633, Volkswagen Passat 2.0 HIGHLINE TDI 4d 138 BHP     ,"£3,695",2009,Saloon,"837,800",2.0L,138BHP,Manual,Diesel
3634, Vauxhall Corsa 1.2 ENERGY AC 3d 69 BHP     ,"£5,495",2015,Hatchback,"46,980",1.2L,69BHP,Manual,Petrol
3635, Hyundai I30 1.4 CLASSIC 5d 98 BHP     ,"£5,495",2013,Hatchback,"41,050",1.4L,98BHP,Manual,Petrol
3636, Nissan Note 1.2 ACENTA 5d 80 BHP     ,"£5,495",2013,Hatchback,"34,090",1.2L,80BHP,Manual,Petrol
3637, SKODA Octavia 2.0 TDI SE 5dr     ,"£6,295",2015,Estate,"100,163",2.0L,148BHP,Manual,Diesel
3641, Ford Focus 1.6 Zetec Powershift 5dr     ,"£6,895",2012,Hatchback,"29,000",1.6L,123BHP,Automatic,Petrol
3642, Honda Cr-V 2.2 i-DTEC EX 5dr     ,"£6,895",2011,SUV,"90,000",2.2L,148BHP,Manual,Diesel
3643, Honda Civic 1.8 i-VTEC ES 5dr     ,"£7,295",2012,Hatchback,"46,000",1.8L,140BHP,Automatic,Petrol
3644, Volvo V40 1.6 D2 ES 5dr     ,"£7,995",2013,Hatchback,"39,000",1.6L,115BHP,Manual,Diesel
3645, SKODA Octavia 2.0 TDI CR Elegance 5dr     ,"£8,295",2014,Hatchback,"59,000",2.0L,148BHP,Manual,Diesel
3646, Volvo V40 2.0 D3 SE Geartronic 5dr     ,"£9,295",2013,Hatchback,"28,000",2.0L,150BHP,Automatic,Diesel
3647, Mazda Bongo AFT (Auto Free Top) V6 2.5     ,"£11,500",2011,MPV,"80,500",2.5L,Automatic,Petrol,3
3648, Audi Q7 3.0 TDI V6 S line Tiptronic quattro (s/s) 5dr     ,"£36,500",2017,SUV,"19,500",3.0L,272PS,Automatic,Diesel
3649, Mitsubishi Shogun 3.2 DI-DC Equippe 4work Van 3dr (LWB)     ,"£8,700",2012,Window,Van,miles,3.2L,197BHP,Automatic
3650, Volkswagen Amarok 2.0 BiTDI Highline Per Pickup 4MOTION 4dr …     ,"£11,650",2011,Pickup,"74,296",2.0L,161BHP,Manual,Diesel
3654, Mercedes-Benz A Class 2.0 A45 AMG (Premium) Hatchback 5dr …     ,"£25,995",2016,Hatchback,"39,000",2.0L,381PS,Automatic,Petrol
3655, BMW 3 Series 2.0 320d M Sport Saloon 4dr Diesel Auto (s/s) …     ,"£28,495",2019,Saloon,"11,000",2.0L,190PS,Automatic,Diesel
3656, Mercedes-Benz S Class 3.0 S350L d AMG Line (Executive) Saloon …     ,"£29,995",2017,Saloon,"82,000",3.0L,286PS,Automatic,Diesel
3657, Nissan Micra 1.4 16v Tekna 5dr     ,"£4,350",CAT,Icon,2014,reg),Hatchback,"64,000",miles
