,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in,Car_Make
8557, Vauxhall Insignia 1.8i VVT SRi 5dr     ,5750,2013,Hatchback,59140,1.8L,138BHP,Manual,Petrol,Vauxhall
8558, Vauxhall Adam HAT 1.2 70ps Glam 3dr     ,5750,2014,Hatchback,36000,1.2L,70PS,Manual,Petrol,Vauxhall
8559, Renault Twingo 0.9 TCE Dynamique S 5dr [Start Stop]     ,5750,2015,Hatchback,26210,0.9L,90PS,Manual,Petrol,Renault
8560, Vauxhall Astra 5Dr 1.4i VVT 140ps Turbo SRi     ,5950,2014,Hatchback,54110,1.4L,140PS,Manual,Petrol,Vauxhall
8562, Renault Scenic 1.5 dCi Limited Energy 5dr [Start Stop]     ,6550,2015,MPV,38700,1.5L,110BHP,Manual,Diesel,Renault
8563, Vauxhall Viva 5Dr HAT 1.0i 73ps SE A/C     ,6990,2019,Hatchback,3650,1.0L,73PS,Manual,Petrol,Vauxhall
8564, Vauxhall Corsa 1.4 ecoFLEX Energy 5dr [AC]     ,6990,2016,Hatchback,36524,1.4L,90PS,Manual,Petrol,Vauxhall
8565, Ford Mondeo 2L Titanium TiVCT 4dr     ,15900,2017,Saloon,4863,2.0L,184BHP,Automatic,Hybrid,Ford
8566, Hyundai Kona 1L Premium SE Blue Drive T-GDi 5dr     ,15900,2018,SUV,5354,1.0L,118BHP,Manual,Petrol,Hyundai
8567, Suzuki SX4 S-Cross 1.4L SZ5 Boosterjet 5dr     ,15900,2018,SUV,18920,1.4L,138BHP,Manual,Petrol,Suzuki
8568, SKODA Yeti 2L Laurin & Klement TDI 5dr     ,15950,2017,SUV,16044,2.0L,148BHP,Automatic,Diesel,SKODA
8569, SEAT Leon 1.5 TSI EVO XCELLENCE Lux (s/s) 5dr     ,16000,2019,Hatchback,19747,1.5L,130PS,Manual,Petrol,SEAT
8570, Mercedes-Benz Gla Class 2.1 GLA200 SE (s/s) 5dr     ,16000,2017,SUV,24173,2.1L,134BHP,Manual,Diesel,Mercedes-Benz
8571, MINI Convertible 1.5L Cooper Classic 2dr     ,16000,2019,Convertible,5407,1.5L,136BHP,Manual,Petrol,MINI
8572, Audi A4 2L S line ultra TDI 4dr     ,16050,2016,Saloon,29912,2.0L,187BHP,Manual,Diesel,Audi
8573, Hyundai Ioniq 1.6L Premium SE h-GDi 5dr     ,16100,2017,Hatchback,15235,1.6L,139BHP,Automatic,Hybrid,Hyundai
8574, Hyundai Tucson 2L Premium SE CRDi 5dr     ,16100,2016,SUV,25736,2.0L,134BHP,Manual,Diesel,Hyundai
8575, Citroen Berlingo 1.6 BlueHDi XTR Multispace ETG6 (s/s) 5dr     ,10995,2016,MPV,21000,1.6L,100PS,Automatic,Diesel,Citroen
8576, Peugeot 2008 1.2 PureTech Allure (s/s) 5dr     ,11295,2017,SUV,17406,1.2L,110PS,Manual,Petrol,Peugeot
8577, Citroen Berlingo 1.6 BlueHDi Flair Multispace ETG6 (s/s) 5dr     ,11595,2017,MPV,33793,1.6L,100PS,Automatic,Diesel,Citroen
8578, SKODA Yeti 2.0 TDI SE L (s/s) 5dr     ,11995,2016,SUV,34156,2.0L,110PS,Manual,Diesel,SKODA
8579, Peugeot 2008 1.2 PureTech Allure Premium (s/s) 5dr     ,11995,2019,SUV,16112,1.2L,82PS,Manual,Petrol,Peugeot
8580, BMW 3 Series 2.0 320d BluePerformance Sport (s/s) 4dr     ,12295,2015,Saloon,45953,2.0L,184BHP,Manual,Diesel,BMW
8581, Volkswagen Tiguan 2.0 TDI BlueMotion Tech R-Line 4MOTION 5dr     ,12495,2014,SUV,49339,2.0L,138BHP,Manual,Diesel,Volkswagen
8582, Mercedes-Benz A Class 1.5 A180 CDI Sport Edition 5dr (E6)     ,12695,2015,Hatchback,31500,1.5L,109BHP,Manual,Diesel,Mercedes-Benz
8583, Nissan Qashqai 1.2 DIG-T N-Connecta (Executive Pack) 5dr     ,12795,2016,SUV,32137,1.2L,113BHP,Manual,Petrol,Nissan
